REGULAR RARES AND REGULAR MYTHIC RARES PRICES

To search for a card type control+f
Bot accounts: pisiiki3, supernova01, bifidus, ComparePrices, tina16, mteamtester, supernova02, pisiiki2

Name                                               Buy       Sell      Bot Account[Stock Available]
Vorel of the Hull Clade [DGM]                      0.024     0.046     ComparePrices[1] tina16[2] supernova01[2]
Ready/Willing [DGM]                                0.024     0.048     supernova01[1] pisiiki3[1]
Renegade Krasis [DGM]                              0.032
Obzedat's Aid [DGM]                                0.036     0.066     tina16[1] supernova02[2] pisiiki3[4] bifidus[2] pisiiki2[1] supernova01[2]
Breaking/Entering [DGM]                            0.042     0.078     pisiiki2[1] tina16[1] ComparePrices[1]
Ruric Thar, the Unbowed [DGM]                      0.048     0.086     pisiiki2[1] bifidus[1] supernova02[4] supernova01[4] ComparePrices[1]
Skylasher [DGM]                                              0.086     pisiiki2[1] supernova01[3] supernova02[4] bifidus[1] ComparePrices[2] tina16[1] pisiiki3[3]
Render Silent [DGM]                                0.056     0.1       ComparePrices[1] pisiiki2[2] bifidus[2] tina16[4]
Beck/Call [DGM]                                    0.062     0.105     mteamtester[1] supernova01[1]
Notion Thief [DGM]                                 0.098     0.135     bifidus[2] supernova01[2] pisiiki3[1] pisiiki2[3] supernova02[3] mteamtester[1]
Gaze of Granite [DGM]                              0.11      0.15      tina16[2]
Plasm Capture [DGM]                                0.12      0.165     pisiiki3[2] supernova02[2]
Blood Scrivener [DGM]                                        0.19      ComparePrices[4] supernova01[1] pisiiki3[4] mteamtester[1] bifidus[1] supernova02[1] pisiiki2[2]
Sire of Insanity [DGM]                             0.175     0.23      supernova01[1] mteamtester[1] supernova02[1] tina16[3]
Renounce the Guilds [DGM]                          0.22      0.29      supernova02[1] supernova01[1] mteamtester[4] pisiiki3[1] tina16[3] ComparePrices[3]
Reap Intellect [DGM]                               0.23      0.32      supernova02[2] mteamtester[2] pisiiki2[2] bifidus[2]
Council of the Absolute [DGM]                      0.32      0.42      pisiiki2[2] bifidus[4] pisiiki3[2] supernova01[2]
Exava, Rakdos Blood Witch [DGM]                    0.34      0.46      supernova01[1] tina16[1]
Savageborn Hydra [DGM]                             0.64      0.86      bifidus[3] pisiiki2[1] pisiiki3[1] ComparePrices[3] supernova02[1] supernova01[1]
Master of Cruelties [DGM]                          0.9       1.1       bifidus[3] ComparePrices[1] pisiiki3[1] tina16[1]
Varolz, the Scar-Striped [DGM]                     1.05      1.35      bifidus[3] tina16[3] supernova02[3] ComparePrices[2]
Deadbridge Chant [DGM]                             1.35      1.7       bifidus[1] pisiiki2[2]
Ætherling [DGM]                                    1.65      2.05      supernova02[2] bifidus[1] pisiiki2[1] pisiiki3[1]
Advent of the Wurm [DGM]                           1.75      2.15      supernova02[1] bifidus[1] tina16[1]
Legion's Initiative [DGM]                          2.05      2.4       pisiiki2[1] mteamtester[1]
Progenitor Mimic [DGM]                             2.5       2.95      mteamtester[2] supernova01[1] pisiiki2[1] tina16[1]
Maze's End [DGM]                                   3.2       3.75      supernova01[2] tina16[1] mteamtester[1] pisiiki2[2]
Ral Zarek [DGM]                                    7.05      8.65      supernova01[2] ComparePrices[2] supernova02[1] mteamtester[2] pisiiki2[1] pisiiki3[1]
Blood Baron of Vizkopa [DGM]                       7.9       9.7       pisiiki2[1] tina16[1] pisiiki3[1] supernova02[1] supernova01[1]
Voice of Resurgence [DGM]                          38        42        pisiiki3[2] pisiiki2[2] ComparePrices[1] tina16[1]

=== Gatecrash === [Total Buy/Sell Value: 65/78] ==================================================================================================

Skarrg Goliath [GTC]                               0.005     0.014     supernova01[1] pisiiki2[1]
Luminate Primordial [GTC]                          0.006     0.016     pisiiki3[3] supernova02[1] bifidus[1] tina16[1]
Alms Beast [GTC]                                   0.007     0.018     bifidus[1] pisiiki3[4] pisiiki2[1]
Realmwright [GTC]                                  0.008     0.02      supernova01[1] pisiiki2[2]
Biovisionary [GTC]                                 0.008     0.02      supernova01[1] bifidus[1] supernova02[4]
Five-Alarm Fire [GTC]                              0.009     0.022     supernova02[1] supernova01[1] pisiiki2[1]
Wrecking Ogre [GTC]                                0.01      0.024     pisiiki3[2]
Molten Primordial [GTC]                            0.01
Ooze Flux [GTC]                                    0.012     0.028     pisiiki2[1]
Foundry Champion [GTC]                             0.01      0.024     pisiiki3[1] bifidus[1]
Gruul Ragebeast [GTC]                              0.01      0.024     pisiiki3[1] supernova02[1]
Glaring Spotlight [GTC]                            0.012     0.026     supernova01[1] pisiiki3[4]
Diluvian Primordial [GTC]                          0.012     0.028     pisiiki2[1] pisiiki3[1] supernova02[1]
Biomass Mutation [GTC]                             0.012     0.028     supernova01[2]
Rubblehulk [GTC]                                   0.012     0.028     pisiiki3[2] supernova02[1] supernova01[2]
Soul Ransom [GTC]                                  0.012     0.028     supernova01[1] pisiiki3[1]
Firemane Avenger [GTC]                             0.014     0.028     supernova01[1]
Mystic Genesis [GTC]                               0.014     0.028     pisiiki2[1] tina16[1] pisiiki3[1] supernova01[1]
Treasury Thrull [GTC]                              0.014     0.03      pisiiki3[2]
Undercity Plague [GTC]                             0.014     0.03      pisiiki2[1] tina16[1] supernova01[3]
Unexpected Results [GTC]                           0.014     0.03      supernova02[2] supernova01[2] pisiiki2[1] bifidus[1]
Signal the Clans [GTC]                             0.014
Illusionist's Bracers [GTC]                        0.014     0.032     pisiiki2[1] tina16[2] bifidus[1] supernova01[1]
Sepulchral Primordial [GTC]                        0.014
Ogre Slumlord [GTC]                                0.014     0.032     pisiiki3[1] supernova02[2]
Stolen Identity [GTC]                              0.014     0.032     pisiiki2[2] supernova02[1]
Merciless Eviction [GTC]                           0.016     0.032     pisiiki2[1] bifidus[1] ComparePrices[3]
Sylvan Primordial [GTC]                            0.016     0.034     pisiiki2[1] supernova02[1]
Simic Manipulator [GTC]                            0.016
Fathom Mage [GTC]                                  0.016     0.034     supernova01[4] pisiiki3[3] bifidus[1]
Angelic Skirmisher [GTC]                           0.016     0.034     ComparePrices[1]
Clan Defiance [GTC]                                0.016     0.034     pisiiki3[2]
Rubblebelt Raiders [GTC]                           0.016     0.034     pisiiki3[4]
Whispering Madness [GTC]                           0.018     0.036     supernova01[1] supernova02[1] tina16[1] bifidus[1]
Spark Trooper [GTC]                                0.02      0.04      supernova02[1] supernova01[2]
High Priest of Penance [GTC]                       0.022     0.044     supernova02[2] pisiiki3[4] pisiiki2[1] supernova01[3] bifidus[1]
Mind Grind [GTC]                                   0.022     0.044     supernova01[2]
Thespian's Stage [GTC]                             0.028     0.052     pisiiki3[4] bifidus[1]
Consuming Aberration [GTC]                         0.03      0.056     ComparePrices[2] mteamtester[1] bifidus[1] pisiiki2[2] tina16[1] supernova01[2]
Nightveil Specter [GTC]                            0.034     0.062     bifidus[1] pisiiki2[3] supernova01[1] ComparePrices[2] supernova02[1]
Crypt Ghast [GTC]                                  0.052     0.094     ComparePrices[1] supernova02[2] bifidus[2] supernova01[4]
Blind Obedience [GTC]                              0.072     0.115     supernova02[2] tina16[1] pisiiki2[1] ComparePrices[1] bifidus[2] supernova01[2]
Immortal Servitude [GTC]                                     0.12      pisiiki2[1] tina16[3] pisiiki3[4] supernova02[3] ComparePrices[1] supernova01[3]
Assemble the Legion [GTC]                          0.16      0.21      pisiiki2[4] supernova02[1] pisiiki3[1]
Frontline Medic [GTC]                              0.21      0.29      bifidus[1] mteamtester[2]
Gyre Sage [GTC]                                    0.22      0.3       pisiiki2[3] tina16[1] pisiiki3[2] supernova01[1]
Hellkite Tyrant [GTC]                              0.23      0.31      bifidus[4] tina16[2]
Deathpact Angel [GTC]                              0.3       0.4       tina16[1] pisiiki3[1] mteamtester[1] pisiiki2[1]
Giant Adephage [GTC]                               0.3       0.4       supernova01[1] pisiiki3[1] bifidus[1]
Borborygmos Enraged [GTC]                          0.44      0.58      tina16[1] ComparePrices[1] supernova02[1] bifidus[3] mteamtester[2] supernova01[1]
Lord of the Void [GTC]                             0.46      0.62      bifidus[1] supernova02[2]
Enter the Infinite [GTC]                           0.54      0.72      bifidus[4] pisiiki3[1] mteamtester[4] supernova01[1]
Legion Loyalist [GTC]                              0.7       0.94      supernova02[1] supernova01[1] pisiiki3[1] mteamtester[3] pisiiki2[2] tina16[2] ComparePrices[1]
Lazav, Dimir Mastermind [GTC]                      0.74      0.98      supernova02[1] supernova01[1]
Gideon, Champion of Justice [GTC]                  2.3       2.7       ComparePrices[1] tina16[3] pisiiki2[2]
Aurelia's Fury [GTC]                               2.35      2.75      ComparePrices[1] pisiiki3[2] pisiiki2[3] tina16[1] supernova02[2]
Watery Grave [GTC]                                 2.45      2.85      pisiiki3[1] supernova02[1] tina16[1] bifidus[1] supernova01[1] ComparePrices[3]
Breeding Pool [GTC]                                2.7       3.2       pisiiki2[1] ComparePrices[1] bifidus[3]
Duskmantle Seer [GTC]                              2.8       3.3       pisiiki2[1] tina16[1] mteamtester[1] supernova02[3] bifidus[1]
Prime Speaker Zegana [GTC]                         2.9       3.45      pisiiki2[4] supernova01[1] ComparePrices[1]
Aurelia, the Warleader [GTC]                       3         3.5       pisiiki3[1] tina16[2] supernova02[3] supernova01[1]
Godless Shrine [GTC]                               3.05      3.6       pisiiki2[3] ComparePrices[1] tina16[2]
Sacred Foundry [GTC]                               3.2       3.75      tina16[1] ComparePrices[4] mteamtester[3]
Master Biomancer [GTC]                             3.3       3.9       mteamtester[1] pisiiki2[2] bifidus[1]
Stomping Ground [GTC]                              4.15      5.1       supernova01[2] mteamtester[3]
Boros Reckoner [GTC]                               4.85      5.95      bifidus[2] tina16[4] pisiiki2[2]
Obzedat, Ghost Council [GTC]                       8.1       9.95      pisiiki2[3] ComparePrices[1] pisiiki3[1]
Domri Rade [GTC]                                   14.8      17        supernova01[2] bifidus[1]

=== Return to Ravnica === [Total Buy/Sell Value: 102/120] ========================================================================================

Search the City [RTR]                              0.003     0.01      tina16[2] pisiiki3[1] supernova01[3]
Sphinx of the Chimes [RTR]                         0.003     0.012     pisiiki2[1] bifidus[1] supernova01[2]
Firemind's Foresight [RTR]                         0.003     0.012     pisiiki3[1] supernova01[1]
Chaos Imps [RTR]                                   0.003     0.012     bifidus[2] pisiiki3[3]
Conjured Currency [RTR]                            0.004     0.012     bifidus[1] tina16[1]
Guild Feud [RTR]                                   0.004     0.012     pisiiki3[1] pisiiki2[1] supernova02[1]
Martial Law [RTR]                                  0.005     0.014     tina16[1] bifidus[2] supernova02[1]
Carnival Hellsteed [RTR]                           0.005     0.014     pisiiki3[2] supernova01[1]
Volatile Rig [RTR]                                 0.005     0.016     tina16[1] pisiiki2[1] supernova01[1]
Archon of the Triumvirate [RTR]                    0.006     0.016     pisiiki3[1]
Grave Betrayal [RTR]                               0.006     0.016     supernova01[1]
Palisade Giant [RTR]                               0.006     0.016     supernova01[1] pisiiki3[2] bifidus[1] tina16[1]
Azor's Elocutors [RTR]                             0.006     0.016     pisiiki3[1] supernova01[2] tina16[1]
Mana Bloom [RTR]                                   0.007     0.018     pisiiki2[1] supernova01[3]
Havoc Festival [RTR]                               0.007     0.018     supernova02[1] pisiiki3[1] tina16[1] bifidus[1]
Wild Beastmaster [RTR]                             0.007     0.018     supernova01[1] bifidus[2]
Righteous Authority [RTR]                          0.009     0.02      pisiiki2[3] bifidus[1] tina16[2]
Death's Presence [RTR]                             0.009     0.022     supernova02[1]
Mercurial Chemister [RTR]                          0.01      0.022     supernova01[1] pisiiki3[2]
Cryptborn Horror [RTR]                             0.012     0.026     supernova01[3] pisiiki2[2] pisiiki3[1]
Collective Blessing [RTR]                          0.016     0.032     pisiiki3[2] bifidus[1]
Hypersonic Dragon [RTR]                            0.016     0.034     bifidus[1] supernova01[3] pisiiki2[1]
Jarad's Orders [RTR]                               0.016     0.034     tina16[1] bifidus[1]
Grove of the Guardian [RTR]                        0.018     0.036     supernova02[1]
Pack Rat [RTR]                                     0.018     0.038     tina16[1] bifidus[1]
Wayfaring Temple [RTR]                             0.022     0.042     supernova02[1] supernova01[1]
Growing Ranks [RTR]                                0.022     0.042     supernova02[1] supernova01[2] pisiiki2[1] bifidus[1]
Deadbridge Goliath [RTR]                           0.022     0.044     tina16[1] ComparePrices[1] supernova01[4]
Nivmagus Elemental [RTR]                           0.022     0.044     supernova02[1] pisiiki2[2] supernova01[2] bifidus[1]
Underworld Connections [RTR]                       0.026     0.05      tina16[1] supernova01[4] bifidus[2]
Corpsejack Menace [RTR]                            0.03      0.056     bifidus[1] supernova02[1] pisiiki2[3] supernova01[4]
Pithing Needle [RTR]                               0.038     0.07      supernova02[1] pisiiki2[1] tina16[2]
Precinct Captain [RTR]                             0.052     0.094     supernova01[1] tina16[1] pisiiki2[4]
Chromatic Lantern [RTR]                            0.056     0.1       supernova01[1]
Counterflux [RTR]                                  0.06      0.105     pisiiki2[1] bifidus[2] tina16[1] pisiiki3[1] supernova01[3]
Slaughter Games [RTR]                              0.094     0.13      supernova01[1] pisiiki3[1]
Cyclonic Rift [RTR]                                0.1
Rest in Peace [RTR]                                          0.22      supernova01[1] pisiiki3[1] bifidus[3] ComparePrices[3] mteamtester[1] tina16[3] pisiiki2[3]
Desecration Demon [RTR]                            0.23      0.31      pisiiki3[1] tina16[1] supernova01[2] mteamtester[1]
Isperia, Supreme Judge [RTR]                       0.25      0.34      bifidus[2] mteamtester[1] supernova01[2] pisiiki2[4]
Detention Sphere [RTR]                             0.26      0.35      pisiiki2[2] tina16[4] pisiiki3[3]
Lotleth Troll [RTR]                                0.29      0.39      pisiiki2[3] supernova02[1] mteamtester[2] pisiiki3[2] supernova01[4]
Utvara Hellkite [RTR]                              0.4       0.54      pisiiki3[1] supernova01[2] bifidus[1] pisiiki2[1] supernova02[1]
Ash Zealot [RTR]                                             0.62      tina16[4] supernova01[2] pisiiki2[3] bifidus[3]
Dreadbore [RTR]                                    0.6       0.8       tina16[4] pisiiki3[2] ComparePrices[1] supernova02[2]
Rakdos, Lord of Riots [RTR]                        0.6       0.8       pisiiki3[1] supernova01[1] tina16[1]
Necropolis Regent [RTR]                            0.68      0.9       pisiiki3[1] ComparePrices[1]
Loxodon Smiter [RTR]                               0.8       1.05      bifidus[4] pisiiki2[4] supernova01[2] ComparePrices[1] pisiiki3[2]
Jarad, Golgari Lich Lord [RTR]                     0.88      1.1       mteamtester[2] pisiiki2[2] bifidus[3] tina16[2]
Epic Experiment [RTR]                              1.1       1.4       pisiiki3[2] mteamtester[1] supernova02[1] pisiiki2[1] bifidus[2] supernova01[1] tina16[1]
Worldspine Wurm [RTR]                              1.05      1.3       mteamtester[3] pisiiki2[2] ComparePrices[1] pisiiki3[1]
Supreme Verdict [RTR]                              1.55      1.9       supernova02[1] tina16[3] supernova01[1] mteamtester[1] bifidus[1] pisiiki2[1]
Niv-Mizzet, Dracogenius [RTR]                      1.55      1.95      pisiiki2[1] bifidus[1]
Mizzium Mortars [RTR]                              1.7       2.1       tina16[2]
Abrupt Decay [RTR]                                 1.7       2.15      pisiiki2[1] tina16[1] pisiiki3[2]
Armada Wurm [RTR]                                  1.8       2.15      bifidus[2] supernova02[1] mteamtester[1] tina16[1]
Blood Crypt [RTR]                                  2.5       2.95      tina16[1] pisiiki2[2] ComparePrices[2] supernova01[1]
Overgrown Tomb [RTR]                               2.55      3         pisiiki2[3] tina16[4] supernova02[1] bifidus[2]
Hallowed Fountain [RTR]                            2.7       3.2       ComparePrices[2] pisiiki3[2] bifidus[1] tina16[1] supernova02[2] supernova01[1]
Steam Vents [RTR]                                  3.05      3.65      ComparePrices[1]
Temple Garden [RTR]                                3.45      4.1       mteamtester[4]
Vraska the Unseen [RTR]                            3.5       4.15      supernova01[1] pisiiki3[1] pisiiki2[3]
Deathrite Shaman [RTR]                             4.15      5.05      pisiiki2[3] pisiiki3[3] ComparePrices[3]
Trostani, Selesnya's Voice [RTR]                   4.3       5.25      ComparePrices[1] tina16[2] bifidus[2] supernova01[1]
Rakdos's Return [RTR]                              5.65      6.95      pisiiki2[1] supernova01[1] mteamtester[1]
Angel of Serenity [RTR]                            10.5      12.1      supernova02[1] tina16[3] pisiiki2[1] supernova01[2] pisiiki3[1] bifidus[2]
Jace, Architect of Thought [RTR]                   14.1      16.2      bifidus[1] supernova01[2] supernova02[1] pisiiki2[3]
Sphinx's Revelation [RTR]                          28.75     31.75     ComparePrices[2]

=== Magic 2013 === [Total Buy/Sell Value: 68/83] =================================================================================================

Battle of Wits [M13]                               0.012     0.028     supernova02[1] bifidus[1] pisiiki3[1] tina16[1]
Xathrid Gorgon [M13]                               0.014     0.028     supernova02[1] bifidus[1] ComparePrices[4]
Odric, Master Tactician [M13]                      0.014     0.03      pisiiki2[1] pisiiki3[1] ComparePrices[1] supernova02[4]
Hamletback Goliath [M13]                           0.014     0.032     pisiiki2[2] supernova02[1] supernova01[3] ComparePrices[3] bifidus[1]
Stormtide Leviathan [M13]                          0.016     0.032     pisiiki3[1] supernova02[1] pisiiki2[1] bifidus[3] ComparePrices[1]
Hellion Crucible [M13]                             0.016     0.034     ComparePrices[1] bifidus[1]
Diabolic Revelation [M13]                          0.016     0.034     bifidus[1] supernova01[4] supernova02[1] pisiiki3[2] ComparePrices[3]
Cathedral of War [M13]                             0.018     0.036     bifidus[1] pisiiki2[1] supernova02[1]
Touch of the Eternal [M13]                         0.018     0.036     pisiiki3[3] supernova02[1] mteamtester[1] tina16[1]
Door to Nothingness [M13]                          0.018     0.038     supernova01[1] pisiiki2[4] supernova02[1] bifidus[1] pisiiki3[1]
Firewing Phoenix [M13]                             0.02      0.038     bifidus[1] supernova02[2]
Fervor [M13]                                       0.02      0.04      bifidus[2]
Intrepid Hero [M13]                                0.02      0.04      supernova02[1] mteamtester[2]
Wit's End [M13]                                    0.02      0.04      pisiiki3[1] tina16[1]
Void Stalker [M13]                                 0.02      0.04      tina16[1] ComparePrices[1] bifidus[1] supernova01[1]
Phylactery Lich [M13]                              0.022     0.044     supernova02[1] pisiiki3[1] supernova01[2] ComparePrices[2] tina16[1]
Redirect [M13]                                     0.022     0.044     pisiiki3[1] ComparePrices[2] supernova02[1]
Stuffy Doll [M13]                                  0.024     0.046     supernova01[2] pisiiki3[3] tina16[1] mteamtester[1] ComparePrices[2]
Sands of Delirium [M13]                            0.024     0.048     tina16[1]
Reverberate [M13]                                  0.026     0.05      supernova02[1] pisiiki3[1] bifidus[1] pisiiki2[1]
Faith's Reward [M13]                               0.026     0.05      supernova02[2] mteamtester[1] pisiiki2[4] pisiiki3[1]
Trading Post [M13]                                 0.026     0.052     ComparePrices[1] pisiiki3[2] supernova01[1]
Silklash Spider [M13]                              0.026     0.052     supernova02[1] pisiiki3[2] mteamtester[1]
Serra Avenger [M13]                                0.028
Sphinx of Uthuun [M13]                             0.028     0.054     ComparePrices[1] supernova01[1] pisiiki3[3] supernova02[2]
Spelltwine [M13]                                   0.032     0.06      bifidus[2] tina16[1] supernova02[1] pisiiki3[3]
Captain of the Watch [M13]                         0.032     0.06      pisiiki3[1] pisiiki2[1] tina16[4] supernova01[1]
Predatory Rampage [M13]                            0.034     0.064     pisiiki2[1] supernova02[2] bifidus[1]
Boundless Realms [M13]                             0.034
Nefarox, Overlord of Grixis [M13]                  0.034     0.064     tina16[3] supernova02[1]
Shimian Specter [M13]                              0.034     0.064     supernova02[1] pisiiki3[1]
Yeva, Nature's Herald [M13]                        0.036     0.066     bifidus[2] supernova02[2] pisiiki2[1]
Planar Cleansing [M13]                             0.036     0.066     pisiiki2[2] tina16[2] mteamtester[1]
Gilded Lotus [M13]                                 0.038     0.07      pisiiki3[3] bifidus[1] mteamtester[2] ComparePrices[4] supernova02[1]
Magmaquake [M13]                                   0.04      0.074     pisiiki2[1]
Elvish Archdruid [M13]                             0.04      0.074     bifidus[1]
Quirion Dryad [M13]                                0.044     0.08      pisiiki2[4] ComparePrices[2] bifidus[4] mteamtester[1]
Slumbering Dragon [M13]                            0.058     0.105     pisiiki3[1] supernova02[1] supernova01[1] pisiiki2[1]
Clone [M13]                                        0.1       0.14      supernova01[1] tina16[1] supernova02[1] ComparePrices[1]
Krenko, Mob Boss [M13]                             0.125     0.175     ComparePrices[2] pisiiki2[1] bifidus[1]
Master of the Pearl Trident [M13]                  0.135
Disciple of Bolas [M13]                            0.135     0.185     tina16[2] ComparePrices[1] mteamtester[2] pisiiki2[1] supernova02[1] pisiiki3[2] bifidus[4]
Talrand, Sky Summoner [M13]                        0.145     0.195     supernova01[1] supernova02[1] pisiiki3[2] ComparePrices[1]
Rhox Faithmender [M13]                             0.155     0.21      bifidus[3] supernova02[1] ComparePrices[1] tina16[1] pisiiki3[2]
Staff of Nin [M13]                                 0.16      0.22      bifidus[2]
Worldfire [M13]                                    0.27      0.36      bifidus[2] supernova02[1] supernova01[1] mteamtester[2]
Glacial Fortress [M13]                             0.44      0.6       tina16[2] pisiiki3[1] supernova02[2] bifidus[4]
Dragonskull Summit [M13]                           0.44      0.58      ComparePrices[1] tina16[3] bifidus[3] supernova02[1] pisiiki2[1] pisiiki3[2]
Ground Seal [M13]                                  0.5       0.68      bifidus[1] ComparePrices[2] pisiiki2[3]
Drowned Catacomb [M13]                             0.52      0.7       pisiiki3[1] mteamtester[4] tina16[4] pisiiki2[1]
Serra Avatar [M13]                                 0.62      0.82      bifidus[1] pisiiki3[1] mteamtester[1] ComparePrices[1] supernova02[1]
Akroma's Memorial [M13]                            0.84      1.1       pisiiki3[1] supernova02[4] bifidus[1]
Rootbound Crag [M13]                               1.1       1.35      pisiiki2[2] supernova01[4] pisiiki3[4] tina16[1]
Elderscale Wurm [M13]                              1.1       1.4       tina16[2] supernova02[1] pisiiki3[1] supernova01[3] pisiiki2[1] mteamtester[2] ComparePrices[3]
Sunpetal Grove [M13]                               1.2       1.45      supernova01[1] mteamtester[2] bifidus[2] supernova02[1] tina16[2] pisiiki3[1] ComparePrices[2]
Mutilate [M13]                                     1.3       1.6       supernova01[2] tina16[2] pisiiki2[1] bifidus[1]
Nicol Bolas, Planeswalker [M13]                    1.4       1.75      ComparePrices[1] supernova02[1] tina16[3] pisiiki2[1] bifidus[2] supernova01[4]
Vampire Nocturnus [M13]                            1.65      2.05      supernova02[3] ComparePrices[1] pisiiki2[1] supernova01[1] pisiiki3[1]
Chandra, the Firebrand [M13]                       1.75      2.2       pisiiki3[1] supernova02[1] bifidus[3] tina16[2] supernova01[3] ComparePrices[1]
Omniscience [M13]                                  3.35      3.95      supernova02[2]
Thragtusk [M13]                                    3.4       4         bifidus[4] supernova02[2]
Liliana of the Dark Realms [M13]                   3.65      4.45      tina16[3] ComparePrices[2] supernova01[2] mteamtester[1] supernova02[2]
Primordial Hydra [M13]                             4         4.9       tina16[1] mteamtester[1] ComparePrices[1] supernova02[1] supernova01[1] pisiiki3[1] bifidus[2]
Ajani, Caller of the Pride [M13]                   4.5       5.5       pisiiki2[1] supernova02[2] ComparePrices[1]
Sublime Archangel [M13]                            4.95      6.1       bifidus[1] tina16[1] ComparePrices[3] supernova02[2] supernova01[2]
Jace, Memory Adept [M13]                           7.3       8.95      supernova02[1] tina16[2] bifidus[1] supernova01[2]
Garruk, Primal Hunter [M13]                        8.6       10.6      ComparePrices[1] bifidus[1] supernova01[2] pisiiki2[1]
Thundermaw Hellkite [M13]                          13.5      15.5      pisiiki2[4] supernova01[2] bifidus[4] mteamtester[1]

=== Avacyn Restored === [Total Buy/Sell Value: 100/121] ==========================================================================================

Spirit Away [AVR]                                  0.016     0.032     tina16[2] pisiiki2[4] pisiiki3[1]
Captain of the Mists [AVR]                         0.016     0.034     supernova01[4] pisiiki2[3] bifidus[1]
Lone Revenant [AVR]                                0.016     0.034     pisiiki2[4] bifidus[2] supernova01[4]
Archwing Dragon [AVR]                              0.02      0.04      ComparePrices[1] tina16[1] mteamtester[2] pisiiki3[4] pisiiki2[1]
Hound of Griselbrand [AVR]                         0.02      0.04      pisiiki2[3]
Deadeye Navigator [AVR]                            0.02      0.04      pisiiki3[1] pisiiki2[2]
Riders of Gavony [AVR]                             0.022     0.042     tina16[3]
Lunar Mystic [AVR]                                 0.022     0.044     pisiiki2[1] tina16[2]
Arcane Melee [AVR]                                 0.024     0.046     pisiiki2[1]
Divine Deflection [AVR]                            0.026     0.05      mteamtester[3]
Rite of Ruin [AVR]                                 0.026     0.05      pisiiki3[2] ComparePrices[2] bifidus[2]
Burn at the Stake [AVR]                            0.028
Treacherous Pit-Dweller [AVR]                      0.028     0.054     pisiiki3[2] pisiiki2[3]
Tyrant of Discord [AVR]                            0.032
Gallows at Willow Hill [AVR]                       0.034     0.062     pisiiki3[1]
Stolen Goods [AVR]                                 0.036     0.066     supernova02[2] supernova01[1]
Dark Impostor [AVR]                                0.036     0.068     bifidus[1] mteamtester[1]
Somberwald Sage [AVR]                              0.038     0.07      bifidus[1] pisiiki3[1] pisiiki2[3] mteamtester[4]
Demonlord of Ashmouth [AVR]                        0.038     0.07      tina16[4]
Otherworld Atlas [AVR]                             0.04      0.074     supernova02[1] pisiiki2[1]
Druids' Repository [AVR]                           0.042     0.076     tina16[1] supernova02[1] ComparePrices[2]
Herald of War [AVR]                                0.042
Infinite Reflection [AVR]                          0.042     0.078     pisiiki2[2] tina16[1] bifidus[2]
Gloom Surgeon [AVR]                                0.044     0.082     pisiiki3[1] supernova02[1] mteamtester[1] pisiiki2[1] tina16[1]
Dread Slaver [AVR]                                 0.046     0.082     supernova02[1] tina16[2] supernova01[1]
Dual Casting [AVR]                                 0.046     0.084     supernova01[2] ComparePrices[2] pisiiki3[2] mteamtester[2] supernova02[1] bifidus[1]
Moonsilver Spear [AVR]                             0.046     0.084     bifidus[1] tina16[2] supernova02[1]
Demonic Rising [AVR]                               0.046     0.084     tina16[1] supernova01[1]
Harvester of Souls [AVR]                           0.046     0.084     tina16[1]
